Time,Flow rate(ln/min)
127.2,0.335
127.4,0.3325
127.6,0.3306
127.8,0.3294
128,0.33
128.2,0.3306
128.4,0.3325
128.6,0.3344
128.8,0.3363
129,0.3381
129.2,0.3406
129.4,0.3425
129.6,0.3438
129.8,0.3456
130,0.3469
130.2,0.3475
130.4,0.3487
130.6,0.3487
130.8,0.3487
131,0.3475
131.2,0.3456
131.4,0.3438
131.6,0.3425
131.8,0.3419
132,0.3425
132.2,0.3438
132.4,0.3462
132.6,0.3481
132.8,0.3506
133,0.3531
133.2,0.3556
133.4,0.3575
133.6,0.3594
133.8,0.3612
134,0.3625
134.2,0.3637
134.4,0.365
134.6,0.3656
134.8,0.3656
135,0.3669
135.2,0.3675
135.4,0.3681
135.6,0.3681
135.8,0.3688
136,0.3688
136.2,0.3688
136.4,0.3681
136.6,0.3681
136.8,0.3675
137,0.3669
137.2,0.3662
137.4,0.365
137.6,0.3637
137.8,0.3625
138,0.3619
138.2,0.3637
138.4,0.3675
138.6,0.3725
138.8,0.3856
139,0.3919
139.2,0.3981
139.4,0.4044
139.6,0.41
139.8,0.415
140,0.4194
140.2,0.4231
140.4,0.4269
140.6,0.4294
140.8,0.4319
141,0.4344
141.2,0.4363
141.4,0.4375
141.6,0.4387
141.8,0.44
142,0.4406
142.2,0.4412
142.4,0.4419
142.6,0.4425
142.8,0.4425
143,0.4425
143.2,0.4425
143.4,0.4419
143.6,0.4419
143.8,0.4412
144,0.4406
144.2,0.44
144.4,0.4387
144.6,0.4381
144.8,0.4375
145,0.4363
145.2,0.4356
145.4,0.4344
145.6,0.4331
145.8,0.4319
146,0.4306
146.2,0.4294
146.4,0.4281
146.6,0.4269
146.8,0.425
147,0.4237
147.2,0.4225
147.4,0.4206
147.6,0.4194
147.8,0.4175
148,0.415
148.2,0.4131
148.4,0.41
148.6,0.4075
148.8,0.4056
149,0.4031
149.2,0.4013
149.4,0.4
149.6,0.3987
149.8,0.3975
150,0.3962
150.2,0.3956
150.4,0.3944
150.6,0.3931
150.8,0.3919
151,0.3912
151.2,0.39
151.4,0.3887
151.6,0.3875
151.8,0.3862
152,0.385
152.2,0.3837
152.4,0.3825
152.6,0.3819
152.8,0.3806
153,0.3794
153.2,0.3781
153.4,0.3769
153.6,0.3756
153.8,0.3744
154,0.3731
154.2,0.3719
154.4,0.3706
154.6,0.37
154.8,0.3688
155,0.3681
155.2,0.3675
155.4,0.3669
155.6,0.3656
155.8,0.365
156,0.3644
156.2,0.3637
156.4,0.3631
156.6,0.3619
156.8,0.3612
157,0.3606
157.2,0.3594
157.4,0.3587
157.6,0.3581
157.8,0.3569
158,0.3556
158.2,0.3544
158.4,0.3531
158.6,0.3512
158.8,0.3494
159,0.3469
159.2,0.3438
159.4,0.3425
159.6,0.3419
159.8,0.3425
160,0.3444
160.2,0.3506
160.4,0.3537
160.6,0.3569
160.8,0.36
161,0.3631
161.2,0.3656
161.4,0.3681
161.6,0.37
161.8,0.3719
162,0.3731
162.2,0.3744
162.4,0.375
162.6,0.3756
162.8,0.3762
163,0.3762
163.2,0.3762
163.4,0.3762
163.6,0.3756
163.8,0.375
164,0.3744
164.2,0.3738
164.4,0.3731
164.6,0.3719
164.8,0.3713
165,0.37
165.2,0.3688
165.4,0.3675
165.6,0.3662
165.8,0.3644
166,0.3631
166.2,0.3619
166.4,0.3606
166.6,0.3587
166.8,0.3575
167,0.3556
167.2,0.3544
167.4,0.3525
167.6,0.35
167.8,0.3481
168,0.3475
168.2,0.3481
168.4,0.3506
168.6,0.3537
168.8,0.3575
169,0.3619
169.2,0.3619
169.4,0.3694
169.6,0.3725
169.8,0.375
170,0.3775
170.2,0.38
170.4,0.3812
170.6,0.3831
170.8,0.3844
171,0.385
171.2,0.3856
171.4,0.3856
171.6,0.3862
171.8,0.3869
172,0.3869
172.2,0.3862
172.4,0.3862
172.6,0.3856
172.8,0.3856
173,0.385
173.2,0.3844
173.4,0.3837
173.6,0.3825
173.8,0.3819
174,0.3812
174.2,0.3806
174.4,0.3794
174.6,0.3781
174.8,0.3769
175,0.3756
175.2,0.3744
175.4,0.3725
175.6,0.3706
175.8,0.3688
176,0.3669
176.2,0.3656
176.4,0.365
176.6,0.3662
176.8,0.3681
177,0.3719
177.2,0.3762
177.4,0.3812
177.6,0.3869
177.8,0.3944
178,0.4025
178.2,0.41
178.4,0.4169
178.6,0.4212
178.8,0.4231
179,0.4237
